                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.7631,                0.80086,                 1.1297,                 0.7988,                0.65095,                0.72374,                0.32682,                  1.859,                0.84846,                 1.0877,               0.008185,               0.008185,               0.008185
                     57,                 1.8045,                0.80108,                 1.1103,                0.81009,                 0.6539,                0.73214,                0.34141,                 1.7965,                0.83054,                 1.0734,               0.008152,               0.008152,               0.008152
                     58,                 1.7774,                0.79448,                 1.1266,                0.81472,                0.64139,                 0.7153,                0.31743,                 1.8635,                0.83964,                 1.0777,               0.008119,               0.008119,               0.008119
                     59,                  1.799,                 0.7913,                  1.092,                0.79665,                0.64836,                0.72646,                0.35284,                 1.7177,                0.85171,                 1.0434,               0.008086,               0.008086,               0.008086
                     60,                 1.7543,                0.77964,                 1.1281,                0.80781,                0.63744,                0.72639,                0.33826,                 1.7977,                0.84588,                 1.0696,               0.008053,               0.008053,               0.008053
                     61,                 1.7864,                0.78339,                 1.1023,                0.78927,                0.62698,                0.70962,                0.33287,                 1.7855,                0.87292,                 1.0659,                0.00802,                0.00802,                0.00802
                     62,                 1.7007,                0.78047,                 1.1209,                0.78733,                0.63481,                0.71597,                0.33313,                 1.8089,                0.84944,                 1.0667,               0.007987,               0.007987,               0.007987
                     63,                 1.7396,                0.77517,                 1.1161,                0.77499,                0.64131,                0.71074,                0.32439,                 1.8444,                0.86453,                 1.0733,               0.007954,               0.007954,               0.007954
                     64,                 1.7562,                0.76641,                 1.1119,                0.75821,                0.64194,                0.69485,                0.32687,                 1.7918,                0.87417,                   1.07,               0.007921,               0.007921,               0.007921
                     65,                 1.7932,                0.77114,                 1.1118,                0.78507,                0.64029,                0.71112,                0.32334,                 1.7887,                 0.8802,                 1.0612,               0.007888,               0.007888,               0.007888
                     66,                 1.7577,                 0.8001,                 1.1286,                0.73507,                0.65332,                0.69626,                0.32624,                 1.7545,                0.88076,                 1.0428,               0.007855,               0.007855,               0.007855
                     67,                 1.7263,                0.77755,                 1.1073,                0.81845,                0.65212,                0.74136,                0.36173,                 1.6788,                0.82218,                 1.0328,               0.007822,               0.007822,               0.007822
                     68,                 1.7232,                0.76904,                 1.1231,                0.80177,                0.65283,                0.72571,                 0.3164,                 1.8709,                0.85141,                 1.0748,               0.007789,               0.007789,               0.007789
                     69,                 1.7372,                0.76483,                 1.0932,                0.78516,                0.64755,                0.72885,                0.34569,                 1.7295,                0.83701,                 1.0485,               0.007756,               0.007756,               0.007756
                     70,                 1.6993,                0.75942,                 1.1174,                0.76502,                0.65057,                0.71801,                 0.3156,                 1.8862,                0.84139,                 1.0819,               0.007723,               0.007723,               0.007723
                     71,                 1.7232,                0.76247,                 1.1052,                0.79064,                0.64282,                0.72251,                0.29766,                 2.0065,                0.88927,                 1.1251,                0.00769,                0.00769,                0.00769
                     72,                 1.7041,                0.77972,                 1.1332,                0.75784,                0.65011,                0.70888,                0.29579,                 1.9672,                0.91629,                 1.1045,               0.007657,               0.007657,               0.007657
                     73,                 1.7413,                0.77268,                 1.1127,                0.73968,                0.62753,                0.69608,                0.32255,                 1.8055,                0.89633,                 1.0589,               0.007624,               0.007624,               0.007624
                     74,                 1.7454,                0.76942,                 1.1276,                0.75145,                0.63445,                0.70287,                0.32626,                 1.8034,                 0.8552,                 1.0621,               0.007591,               0.007591,               0.007591
                     75,                 1.7387,                0.76718,                 1.1314,                0.74285,                0.65087,                0.71183,                 0.3483,                 1.7421,                0.84305,                 1.0467,               0.007558,               0.007558,               0.007558
                     76,                 1.7103,                0.75115,                 1.0962,                0.78763,                0.64844,                0.72986,                0.36603,                  1.671,                0.81388,                 1.0343,               0.007525,               0.007525,               0.007525
                     77,                 1.7025,                0.76459,                 1.0971,                0.81294,                0.66722,                0.74416,                0.37472,                  1.648,                0.80504,                 1.0286,               0.007492,               0.007492,               0.007492
                     78,                  1.722,                0.75612,                 1.0965,                0.81057,                0.66097,                0.73989,                0.35815,                 1.7292,                0.81168,                 1.0483,               0.007459,               0.007459,               0.007459
                     79,                 1.7094,                0.73168,                 1.1055,                0.79558,                0.66673,                0.73419,                0.34316,                 1.8097,                0.81879,                 1.0744,               0.007426,               0.007426,               0.007426
                     80,                 1.6898,                0.74425,                  1.113,                0.82266,                0.67578,                0.75343,                0.36631,                 1.7361,                0.79188,                 1.0533,               0.007393,               0.007393,               0.007393
                     81,                 1.6911,                0.72624,                 1.1003,                0.82601,                0.67883,                0.75526,                0.36768,                 1.7386,                0.78394,                 1.0509,                0.00736,                0.00736,                0.00736
                     82,                 1.7259,                 0.7607,                 1.1244,                0.80722,                0.65372,                0.72766,                0.33493,                  1.785,                0.82417,                 1.0502,               0.007327,               0.007327,               0.007327
                     83,                 1.7103,                0.74823,                 1.1121,                0.78771,                0.65601,                0.71867,                0.33927,                  1.761,                0.85471,                 1.0437,               0.007294,               0.007294,               0.007294
