                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.9527,                0.98714,                 1.1632,                0.51278,                0.48433,                0.41623,                0.12805,                 2.5221,                 1.2834,                 1.3011,               0.008251,               0.008251,               0.008251
                     55,                 1.9358,                0.93755,                 1.1463,                0.60925,                0.53071,                0.52753,                0.18134,                 2.3351,                 1.2604,                 1.2197,               0.008218,               0.008218,               0.008218
                     56,                 1.9569,                0.94564,                 1.1839,                0.60394,                0.50228,                0.50301,                0.16109,                 2.4293,                 1.2416,                 1.2592,               0.008185,               0.008185,               0.008185
                     57,                 2.0139,                0.95431,                 1.1632,                0.58159,                0.54708,                0.52406,                0.17601,                 2.3823,                 1.1861,                 1.2563,               0.008152,               0.008152,               0.008152
                     58,                 1.9257,                0.94728,                 1.1483,                0.60659,                0.50172,                0.47964,                0.13549,                 2.5828,                 1.1764,                 1.3316,               0.008119,               0.008119,               0.008119
                     59,                 2.0045,                0.95423,                  1.134,                0.67735,                0.53689,                0.56803,                0.20099,                 2.2541,                 1.1022,                 1.2118,               0.008086,               0.008086,               0.008086
                     60,                 1.9248,                0.93293,                 1.1632,                0.59904,                0.47266,                0.43662,                0.12083,                 2.6558,                 1.2749,                 1.3795,               0.008053,               0.008053,               0.008053
                     61,                 1.9256,                0.91726,                 1.1314,                0.51303,                0.50852,                0.44657,                0.15581,                 2.2279,                 1.5575,                 1.2166,                0.00802,                0.00802,                0.00802
                     62,                  1.895,                0.94164,                 1.1634,                0.40097,                0.41517,                0.31729,                0.10602,                 2.3642,                 1.3624,                 1.2772,               0.007987,               0.007987,               0.007987
                     63,                 1.9013,                 0.9215,                 1.1513,                0.51859,                0.48436,                0.47025,                0.18839,                 2.0531,                 1.2267,                 1.1482,               0.007954,               0.007954,               0.007954
                     64,                 1.8631,                0.89815,                 1.1255,                0.50523,                0.47916,                 0.4332,                 0.1423,                 2.3117,                 1.2506,                 1.2122,               0.007921,               0.007921,               0.007921
                     65,                 1.9297,                0.87949,                 1.1396,                0.55952,                0.51542,                0.44379,                0.15042,                 2.2365,                 1.2628,                 1.1965,               0.007888,               0.007888,               0.007888
                     66,                 1.9352,                0.95498,                   1.17,                0.54705,                 0.5148,                0.45168,                0.16356,                 2.1975,                 1.3987,                 1.1962,               0.007855,               0.007855,               0.007855
                     67,                 1.8768,                0.91351,                 1.1401,                0.61801,                0.54551,                0.53885,                0.21023,                 2.0852,                 1.2234,                 1.1584,               0.007822,               0.007822,               0.007822
                     68,                 1.8565,                0.90653,                 1.1559,                0.59616,                0.53541,                 0.5011,                0.16541,                 2.2727,                 1.3422,                 1.2184,               0.007789,               0.007789,               0.007789
                     69,                 1.8847,                0.89916,                 1.1241,                0.62402,                0.56996,                0.57003,                0.22034,                 2.1031,                 1.1777,                 1.1724,               0.007756,               0.007756,               0.007756
                     70,                 1.8706,                0.89762,                 1.1415,                0.64061,                0.56439,                0.55783,                0.20999,                 2.1463,                 1.1075,                 1.1753,               0.007723,               0.007723,               0.007723
                     71,                 1.8567,                0.88641,                 1.1289,                0.55674,                0.54559,                 0.5242,                0.18626,                 2.1565,                 1.0951,                 1.1683,                0.00769,                0.00769,                0.00769
                     72,                   1.85,                0.91404,                 1.1588,                 0.5757,                0.58404,                0.54551,                0.18119,                  2.271,                 1.0734,                 1.1929,               0.007657,               0.007657,               0.007657
                     73,                 1.8783,                0.89487,                 1.1505,                 0.6788,                0.53288,                0.57652,                0.18569,                 2.3651,                 1.0469,                 1.2178,               0.007624,               0.007624,               0.007624
                     74,                 1.8961,                0.91449,                 1.1656,                0.71395,                0.60532,                0.64341,                0.24984,                 2.0895,                 1.0076,                 1.1567,               0.007591,               0.007591,               0.007591
                     75,                 1.8764,                0.91151,                 1.1591,                0.67751,                 0.5817,                0.60331,                0.24823,                 2.0334,                 1.0701,                 1.1476,               0.007558,               0.007558,               0.007558
                     76,                  1.851,                0.88421,                 1.1367,                0.72455,                0.56925,                0.61391,                0.22634,                 2.1808,                  1.046,                 1.2133,               0.007525,               0.007525,               0.007525
                     77,                 1.8748,                0.90846,                 1.1392,                0.74898,                0.59062,                0.65732,                0.27728,                  2.044,                0.99422,                 1.1732,               0.007492,               0.007492,               0.007492
                     78,                 1.8885,                0.89256,                 1.1373,                0.63932,                0.54246,                 0.5263,                0.16931,                 2.3798,                 1.0839,                 1.2614,               0.007459,               0.007459,               0.007459
                     79,                 1.8372,                 0.8747,                 1.1372,                0.65158,                0.59372,                0.60472,                0.24621,                 2.0527,                 1.2405,                 1.1555,               0.007426,               0.007426,               0.007426
                     80,                 1.8609,                0.92665,                 1.1531,                 0.5992,                0.54888,                0.53982,                0.19006,                 2.2785,                 1.4289,                 1.2199,               0.007393,               0.007393,               0.007393
                     81,                 1.8796,                0.85518,                 1.1569,                0.68253,                0.61334,                 0.6341,                0.25015,                 2.0629,                 1.0152,                 1.1355,                0.00736,                0.00736,                0.00736
                     82,                 1.9295,                0.90589,                 1.1803,                0.71298,                0.59666,                0.63979,                0.25132,                 2.1229,                 1.0545,                 1.1792,               0.007327,               0.007327,               0.007327
                     83,                 1.8443,                0.88465,                 1.1432,                 0.6884,                0.62162,                0.62582,                0.24847,                 2.0652,                 1.1689,                  1.159,               0.007294,               0.007294,               0.007294
                     84,                 1.8985,                0.87082,                 1.1684,                0.69826,                0.57825,                0.60533,                0.24972,                 2.0187,                 1.1087,                 1.1372,               0.007261,               0.007261,               0.007261
                     85,                 1.9121,                0.87935,                 1.1398,                0.63708,                0.53642,                 0.5238,                0.16749,                 2.4056,                 1.0612,                 1.2526,               0.007228,               0.007228,               0.007228
                     86,                 1.8624,                0.87671,                 1.1368,                0.69912,                0.58318,                0.61803,                0.21844,                 2.1982,                0.99208,                 1.1676,               0.007195,               0.007195,               0.007195
                     87,                 1.8177,                0.83933,                 1.1227,                0.65377,                 0.5637,                0.55556,                0.18264,                  2.372,                 1.1269,                 1.2243,               0.007162,               0.007162,               0.007162
                     88,                 1.7953,                0.86727,                 1.1295,                0.69631,                0.61914,                0.64152,                0.24864,                 2.1236,                 1.0068,                 1.1469,               0.007129,               0.007129,               0.007129
                     89,                 1.7772,                0.84566,                 1.1402,                0.66119,                0.61084,                0.60529,                0.23488,                 2.1365,                 1.0132,                 1.1579,               0.007096,               0.007096,               0.007096
                     90,                 1.8341,                0.82847,                 1.1049,                0.64658,                0.57778,                0.56842,                0.23247,                 1.9877,                 1.0415,                 1.1166,               0.007063,               0.007063,               0.007063
                     91,                 1.8637,                 0.8798,                 1.1286,                0.64341,                0.54035,                0.58809,                0.24799,                 1.9948,                 1.2447,                 1.1088,                0.00703,                0.00703,                0.00703
                     92,                  1.827,                0.88811,                 1.1248,                0.72092,                0.51782,                0.60377,                0.25771,                 2.0352,                  1.084,                 1.1343,               0.006997,               0.006997,               0.006997
                     93,                 1.7753,                0.86196,                 1.1503,                0.69725,                0.57825,                0.60746,                0.21532,                  2.329,                 1.1223,                 1.2525,               0.006964,               0.006964,               0.006964
                     94,                  1.799,                0.83627,                 1.1237,                0.67774,                0.62079,                0.61712,                0.23925,                 2.1145,                 1.3125,                 1.1702,               0.006931,               0.006931,               0.006931
                     95,                 1.8297,                0.87632,                 1.1163,                0.70851,                0.63685,                0.63778,                0.26242,                  2.036,                 1.0457,                 1.1365,               0.006898,               0.006898,               0.006898
                     96,                 1.7932,                0.88148,                 1.1423,                0.71385,                0.61813,                 0.6684,                0.29108,                  1.961,                0.95511,                 1.1014,               0.006865,               0.006865,               0.006865
                     97,                 1.7647,                0.84885,                 1.1262,                0.64112,                0.58732,                0.62581,                0.27363,                  1.963,                0.99994,                 1.0952,               0.006832,               0.006832,               0.006832
                     98,                 1.7814,                0.81734,                 1.0832,                 0.6575,                0.58734,                0.58538,                0.21006,                 2.2139,                 1.1195,                 1.1653,               0.006799,               0.006799,               0.006799
                     99,                 1.8325,                0.87141,                  1.129,                0.68389,                0.60755,                0.63243,                0.26301,                 1.9826,                 1.0512,                 1.1074,               0.006766,               0.006766,               0.006766
                    100,                 1.8721,                 0.8635,                 1.1418,                0.66944,                0.55538,                0.55926,                0.18342,                 2.3049,                 1.0711,                 1.2194,               0.006733,               0.006733,               0.006733
                    101,                 1.8512,                0.87759,                 1.1727,                0.71571,                0.61664,                0.65635,                0.26433,                 2.0372,                 1.0116,                  1.151,                 0.0067,                 0.0067,                 0.0067
                    102,                  1.836,                0.84896,                 1.1339,                 0.7382,                0.61891,                0.66614,                0.26092,                 2.0726,                0.99942,                 1.1521,               0.006667,               0.006667,               0.006667
                    103,                 1.8343,                 0.8632,                 1.1293,                0.75666,                0.61333,                0.67211,                0.26317,                 2.0623,                 0.9652,                 1.1397,               0.006634,               0.006634,               0.006634
                    104,                 1.8099,                 0.8472,                 1.1044,                0.78571,                0.61468,                0.70306,                0.31012,                 1.8795,                0.90647,                 1.0876,               0.006601,               0.006601,               0.006601
                    105,                 1.8407,                0.83602,                 1.1066,                0.69665,                 0.5994,                0.62567,                0.21703,                 2.2267,                 1.0195,                 1.1903,               0.006568,               0.006568,               0.006568
                    106,                 1.8394,                0.86762,                 1.1324,                0.76908,                0.61162,                0.68073,                0.26229,                 2.1482,                0.97612,                 1.1755,               0.006535,               0.006535,               0.006535
                    107,                 1.8468,                0.84394,                 1.1246,                0.75309,                0.58601,                0.62788,                 0.2218,                 2.2136,                0.97329,                 1.1911,               0.006502,               0.006502,               0.006502
                    108,                 1.9086,                0.84924,                  1.122,                0.69295,                0.59557,                0.55875,                0.18785,                 2.2279,                0.96402,                 1.1922,               0.006469,               0.006469,               0.006469
                    109,                 1.8209,                0.84155,                 1.1069,                 0.7265,                0.63319,                 0.6243,                  0.231,                 2.2454,                0.97484,                 1.2118,               0.006436,               0.006436,               0.006436
                    110,                 1.8313,                0.84633,                 1.1285,                0.71146,                0.62754,                0.64307,                0.24006,                 2.2154,                 1.0298,                 1.2107,               0.006403,               0.006403,               0.006403
                    111,                 1.8206,                0.84479,                  1.099,                0.70361,                0.61303,                0.63415,                 0.2193,                 2.2832,                0.98592,                 1.2188,                0.00637,                0.00637,                0.00637
                    112,                  1.846,                0.86016,                 1.1023,                0.74021,                 0.6446,                0.70063,                0.28445,                  2.073,                0.96352,                 1.1564,               0.006337,               0.006337,               0.006337
                    113,                 1.8281,                0.85667,                 1.1142,                0.72262,                 0.6374,                 0.6982,                0.29196,                 2.0159,                0.94229,                 1.1451,               0.006304,               0.006304,               0.006304
                    114,                 1.7235,                0.81495,                 1.1015,                0.76484,                0.61585,                 0.6804,                0.26627,                 2.0568,                0.91938,                 1.1391,               0.006271,               0.006271,               0.006271
                    115,                 1.8112,                0.83765,                 1.1084,                0.70446,                0.63204,                0.62411,                 0.2243,                 2.1424,                0.97767,                 1.1663,               0.006238,               0.006238,               0.006238
                    116,                  1.831,                0.84282,                 1.1103,                0.71621,                0.62471,                0.65008,                0.27162,                 2.0377,                 1.0496,                  1.152,               0.006205,               0.006205,               0.006205
                    117,                 1.8043,                0.83322,                  1.119,                0.73384,                0.63023,                0.65993,                 0.2788,                 2.0211,                 1.0942,                   1.14,               0.006172,               0.006172,               0.006172
                    118,                 1.7602,                0.84764,                 1.1149,                0.74057,                0.64601,                 0.6924,                0.30994,                  1.896,                 1.0156,                 1.0934,               0.006139,               0.006139,               0.006139
                    119,                 1.7975,                0.85674,                 1.1115,                0.73401,                0.64698,                0.69173,                0.30454,                 1.9251,                0.95613,                 1.0971,               0.006106,               0.006106,               0.006106
                    120,                 1.7476,                0.81318,                 1.1187,                    0.7,                0.60935,                0.63426,                0.26685,                 1.9833,                 1.0511,                 1.1068,               0.006073,               0.006073,               0.006073
                    121,                 1.7483,                0.86702,                 1.1211,                0.63214,                0.60076,                0.57829,                0.26113,                 1.8603,                 1.0195,                 1.0749,                0.00604,                0.00604,                0.00604
                    122,                 1.7625,                0.84391,                 1.1118,                0.68413,                0.63112,                 0.6554,                0.28354,                 1.9258,                0.93725,                 1.1017,               0.006007,               0.006007,               0.006007
                    123,                 1.7672,                0.84203,                  1.112,                0.74278,                0.61648,                0.69015,                0.27058,                 2.0508,                0.95917,                 1.1401,               0.005974,               0.005974,               0.005974
                    124,                 1.7887,                0.83812,                 1.1192,                0.67843,                0.63896,                0.64993,                0.25034,                 2.0966,                 1.0151,                 1.1443,               0.005941,               0.005941,               0.005941
                    125,                 1.7364,                0.83963,                 1.1164,                0.67782,                0.61648,                 0.5817,                0.22133,                 2.0563,                 1.0796,                  1.116,               0.005908,               0.005908,               0.005908
                    126,                 1.7494,                 0.7986,                 1.1015,                0.70371,                0.62476,                0.60856,                0.24396,                 2.0548,                0.99938,                 1.1221,               0.005875,               0.005875,               0.005875
                    127,                 1.7834,                0.79475,                  1.102,                0.71029,                0.60958,                0.64063,                0.27221,                 1.9661,                 1.0029,                 1.1014,               0.005842,               0.005842,               0.005842
                    128,                  1.815,                0.81618,                 1.1094,                0.74647,                 0.6392,                0.68703,                 0.3057,                 1.9152,                0.91949,                 1.0916,               0.005809,               0.005809,               0.005809
                    129,                 1.8316,                0.81968,                 1.1308,                0.75808,                 0.6512,                0.69413,                0.30503,                 1.9255,                0.90099,                 1.1047,               0.005776,               0.005776,               0.005776
                    130,                 1.7477,                0.81701,                 1.1156,                0.75221,                0.65385,                0.69637,                0.31234,                 1.8739,                0.86288,                 1.0929,               0.005743,               0.005743,               0.005743
                    131,                  1.733,                0.81884,                 1.1351,                0.70727,                0.60888,                0.62858,                0.22373,                  2.252,                0.94272,                 1.1949,                0.00571,                0.00571,                0.00571
                    132,                 1.7929,                0.79426,                    1.1,                0.75758,                0.61405,                 0.6884,                0.29114,                 1.9327,                0.99043,                 1.1045,               0.005677,               0.005677,               0.005677
                    133,                  1.775,                0.80184,                 1.1159,                0.72829,                0.63418,                0.65981,                 0.2646,                   2.05,                0.97339,                 1.1555,               0.005644,               0.005644,               0.005644
                    134,                 1.7177,                0.79396,                 1.1236,                0.72374,                0.63823,                0.66341,                0.27227,                 2.0528,                0.97127,                 1.1518,               0.005611,               0.005611,               0.005611
                    135,                 1.7233,                0.81442,                 1.1044,                0.73583,                0.65745,                0.69885,                0.30093,                 1.8996,                0.92894,                 1.0929,               0.005578,               0.005578,               0.005578
                    136,                  1.742,                0.79271,                 1.0867,                0.68898,                0.62591,                  0.644,                0.25408,                   1.99,                0.95711,                 1.1071,               0.005545,               0.005545,               0.005545
                    137,                 1.7394,                0.81434,                 1.1214,                0.68691,                0.61656,                0.65521,                0.28923,                 1.8726,                 0.9404,                 1.0871,               0.005512,               0.005512,               0.005512
                    138,                 1.7696,                  0.788,                 1.0918,                0.70196,                0.63387,                0.66588,                0.27204,                 1.9601,                0.95873,                 1.1103,               0.005479,               0.005479,               0.005479
                    139,                 1.6903,                0.77904,                 1.1041,                 0.7151,                0.64194,                0.68383,                0.27834,                 1.9999,                0.91777,                 1.1286,               0.005446,               0.005446,               0.005446
                    140,                 1.7374,                0.80555,                 1.1316,                 0.7113,                0.64993,                0.66368,                0.29035,                 1.9347,                0.93231,                 1.1066,               0.005413,               0.005413,               0.005413
                    141,                 1.7264,                0.78088,                  1.088,                0.72314,                0.65698,                0.66127,                0.28294,                 1.8771,                 1.0172,                 1.0862,                0.00538,                0.00538,                0.00538
                    142,                 1.7681,                0.80721,                 1.1061,                 0.7412,                0.66361,                0.69898,                0.27945,                 2.0028,                0.98293,                  1.127,               0.005347,               0.005347,               0.005347
                    143,                 1.7687,                0.81481,                 1.1074,                0.78379,                0.65745,                0.72603,                0.31009,                 1.9215,                0.91575,                 1.1074,               0.005314,               0.005314,               0.005314
                    144,                 1.7152,                  0.801,                 1.1101,                0.75935,                0.66442,                0.70366,                0.29889,                 1.9027,                0.87163,                 1.0866,               0.005281,               0.005281,               0.005281
                    145,                 1.6972,                0.77915,                 1.0891,                 0.7514,                0.66285,                0.69703,                0.31582,                 1.8432,                0.88948,                 1.0742,               0.005248,               0.005248,               0.005248
                    146,                 1.7285,                0.78323,                  1.095,                0.73623,                0.67163,                 0.6674,                0.29117,                 1.8788,                0.93675,                 1.0827,               0.005215,               0.005215,               0.005215
                    147,                 1.7564,                0.79438,                 1.1213,                 0.7475,                0.65767,                0.68128,                0.29839,                  1.881,                0.93092,                 1.0799,               0.005182,               0.005182,               0.005182
                    148,                 1.7561,                0.79174,                 1.0985,                0.72692,                0.62102,                0.64772,                0.26863,                 2.0533,                 1.0033,                 1.1385,               0.005149,               0.005149,               0.005149
                    149,                    1.7,                0.78066,                 1.0941,                0.73796,                0.64635,                0.68692,                0.29657,                 1.9628,                0.92585,                 1.1116,               0.005116,               0.005116,               0.005116
                    150,                 1.7728,                0.78698,                 1.1032,                 0.7311,                0.64515,                0.67212,                0.28541,                 1.9613,                0.87914,                 1.1146,               0.005083,               0.005083,               0.005083
                    151,                 1.7263,                0.77189,                 1.1151,                 0.7084,                0.63035,                0.63419,                0.25033,                 2.0776,                 1.0188,                 1.1528,                0.00505,                0.00505,                0.00505
